3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;ž;1;b;0;0;h;0;0;0;1
S;0;1;1;1;1;0;v;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1
1;0;1;1;1;1;0;0;v;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1
1;0;0;0;0;0;0;0;0;0;1;1;1;1;r;1;0;0;0;0;0;0;0;0;0;1
1;1;1;0;1;1;1;1;1;0;1;b;b;0;0;1;1;1;1;1;1;1;1;0;1;1
1;0;0;0;1;b;b;b;1;0;1;b;b;0;0;1;1;b;b;b;0;1;0;0;0;1
1;0;0;0;1;0;0;h;1;0;1;0;1;1;1;1;1;b;b;b;0;1;h;0;0;1
1;0;0;0;1;h;0;0;1;0;1;0;1;2;1;2;1;1;1;1;0;1;1;1;0;1
1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;r;0;0;0;1;v;1;0;1
1;r;0;0;1;h;0;0;1;0;1;0;1;0;1;0;1;0;v;0;0;1;0;1;0;1
1;0;r;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;r;0;1;0;1;0;1
1;0;0;0;1;0;0;h;1;0;1;0;0;o;0;o;0;0;0;0;0;1;0;0;0;1
1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
1;0;0;0;1;h;0;0;1;0;0;0;h;0;1;b;0;0;0;0;0;0;0;0;b;1
1;1;1;Ž;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;b;1
1;b;b;b;1;0;0;h;1;0;1;1;1;1;1;1;0;1;0;1;r;0;1;r;b;1
1;b;C;b;1;b;b;b;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;0;b;1
1;b;b;b;1;b;b;b;1;0;0;0;h;0;0;0;0;1;r;1;0;0;1;0;b;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;
